Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
7/17/2013 3:17:05,94,,Original empirical research,Education&Economy  ,2011,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,Huge gap between urban and rural areas,"Equity, Household Expenditures",Both,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,"Individual operator, Small firm, Large firm, Various","Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor",Raises concerns,,Survey conducted by author,"Parents / household, Students",The  chance to have private tutoring is not the same. It may expand social inequity.,Yes
2/21/2014 11:58:10,94,,Review of other research,Journal of Guangxi Vocational and Technical College,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,None or unclear,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,not clear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers",Raises concerns,,,N/A [documents],competition for educational resources,No
7/17/2013 3:40:43,95,,Review of other research,Journal of Teaching and Management ,2013,Chinese,China,East Asia,"Pre-primary, Primary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor",Raises concerns,,,N/A, It is unfair for the students who do not have private tutoring.,No
7/17/2013 3:57:04,96,,Original empirical research,Management of Middle & Primary School ,2008,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Does not address benefits or concerns,,Survey conducted by author,"Parents / household, Students",,Yes
7/17/2013 4:14:41,97,,Original empirical research,Studies of Finance and Accounting in Education ,2009,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,Social Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,Survey conducted by author,"Parents / household, Students",expand social class gap and social inequity,Yes
7/17/2013 5:17:17,98,,Original empirical research,Education & Economy ,2010,Chinese,China,East Asia,Secondary,Single-country / case,Quantitative,Huge gap between urban and rural areas,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,Peer pressure,Survey conducted by author,Students,expand social class gap and social inequity,Yes
7/17/2013 5:32:52,99,,Original empirical research,Education & Economy ,2005,Chinese,China,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear,"Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,Survey conducted by author,Students,"First, private tutoring can increase students' human capital so that it is good to increase social equity. However, the  chance to have private tutoring is not the same. It may expand social inequity.",Yes
7/17/2013 22:56:50,100,,Original empirical research,Journal of Schooling Studies ,Unclear,Chinese,China,East Asia,Primary,Single-country / case,Quantitative,None or Unclear,Household Expenditures,Both,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students",Discusses benefits,,Survey conducted by author,"Parents / household, Students",,Yes
7/17/2013 23:10:23,101,,Original empirical research,Introduction of Business ,2012,Chinese,China,East Asia,Primary,Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,Survey conducted by author,"Teachers who do not tutor, Teachers who tutor, Students",,Yes
7/18/2013 0:20:18,102,,Original empirical research,Journal of Guangxi University for Nationalities ,2005,Chinese,China,East Asia,Primary,Single-country / case,Quantitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Both,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,Survey conducted by author,Students,,Yes
7/18/2013 0:32:15,103,,Original empirical research,Education & Economy ,2011,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Both,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,,Survey conducted by author,Parents / household,,Yes
7/18/2013 1:35:00,104,,Original empirical research,Chinese Educational Economic year conference ,2006,Chinese,China,East Asia,"Pre-primary, Primary, Secondary, Tertiary",Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,Data comes from Chinese Urban Household Education and Employment Survey in 2004.,Parents / household,The  chance to have private tutoring is not the same. It may expand social inequity.,Yes
7/18/2013 1:53:18,105,,Original empirical research,Education Research ,2009,Chinese,China,East Asia,"Pre-primary, Primary, Secondary, Tertiary",Single-country / case,Quantitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,"Data comes from Chinese Urban Household Education and Employment survey in 2004, which include 4772 households and 4772 students.","Parents / household, Students",expand social class gap and social inequity,Yes
7/18/2013 2:06:51,106,,Original empirical research,The Science Education Article Collects ,2011,Chinese,China,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,Survey conducted by author,Students,,Yes
2/21/2014 8:22:03,106,,Original empirical research,Journal of Teaching and Management,2008,Chinese,China,East Asia,Secondary,Single-country / case,Quantitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher",Addresses both benefits and concerns,,"Three middle schools in Zhengzhou was chosen for participants. One is key school, the second one regular school, the third a branch school of a key school.960 questionnaire were distributed. 902 responded. There were 872 valid questionnaires.",Students,,Yes
7/18/2013 2:35:24,107,,Review of other research,Research On Education Tsinghua University ,2008,Chinese,global study,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Social Cohesion, Global Trend, Household Expenditures",Both,Not defined,Not defined,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students",Addresses both benefits and concerns,,,N/A,expand social class gap and social inequity,No
7/18/2013 2:53:01,108,,Review of other research,Comparative Education Review ,2012,Chinese,global study,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,Education equity,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Global Trend",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)",Not defined,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students and secondary school student",Addresses both benefits and concerns,,,N/A,expand social class gap and social inequity,No
2/21/2014 12:07:57,108,,Original empirical research,Education & Economy,2011,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Quantitative,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity",Both,"Designated tutoring center or franchise, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,not clear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, To provide extra enrichment activities (sports or arts)",,Xiaoran Yu,Journal Article,Not defined,Addresses both benefits and concerns,,"106 students in a primary school in urban Wuhan, 140 students in a middle school in suburban Hubei, 130 students in a middle school in rural Hubei.",Students,rural and urban,Yes
7/18/2013 3:22:50,109,,Review of other research,Elementary & Secondary Schooling Abroad ,2012,Chinese,Europe,"Western Europe, Eastern Europe","Primary, Secondary",Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students etc.",Addresses both benefits and concerns,,,N/A,The  chance to have private tutoring is not the same. It may expand social inequity.,No
7/18/2013 3:35:10,110,,Review of other research,Comparative Education Review ,2008,Chinese,global study,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, family relationship",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,,,N/A,The  chance to have private tutoring is not the same. It may expand social inequity.,No
7/18/2013 3:54:03,111,,Review of other research,Shanghai Research on Education ,2011,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Supply & Demand / Economic Efficiency, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,,,N/A,,No
7/18/2013 4:02:33,112,,Review of other research,Guide to Business ,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Social Cohesion, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,,,N/A,The  chance to have private tutoring is not the same. It may expand social inequity.,No
7/18/2013 4:25:19,113,,Review of other research,Journal of Chengdu University(Educational Sciences Edition) ,2013,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity",Both,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students",Addresses both benefits and concerns,,,N/A,expand social class gap and social inequity,No
7/18/2013 4:38:13,114,,Review of other research,  Research in Teaching  ,2009,Chinese,global study,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,,,N/A,expand social class gap and social inequity,No
7/18/2013 4:59:58,115,,Review of other research,The Science Education Article Collects ,2010,Chinese,global study,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Both,"On school grounds, Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,,N/A,,No
7/18/2013 5:25:37,116,,Review of other research,Future and Development ,2008,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,Not defined,Addresses both benefits and concerns,,,N/A,,No
7/18/2013 5:44:19,117,,Review of other research,Jiannan Literature ,2012,Chinese,global study,Global / Worldwide,"Primary, Secondary",Comparative,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Journal Article,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,,,N/A,expand social class gap and social inequity,No
7/18/2013 6:12:14,118,,"Original empirical research, Review of other research",Master's Thesis of Shanghai Normal University ,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,Social Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, influenced by tutoring center's propaganda",,Xia Zhao,Master's Thesis,Not defined,Addresses both benefits and concerns,,Survey conducted by author,"Teachers who tutor, Parents / household, Students",expand social class gap and social inequity,Yes
7/20/2013 1:17:13,119,,"Original empirical research, Review of other research",Master's Thesis of Guangzhou University ,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Master's Thesis,Institution / Professional tutor,Does not address benefits or concerns,,Survey conducted by author,"Teachers who tutor, Students",,Yes
7/20/2013 1:44:41,120,,"Original empirical research, Review of other research",Master's Thesis of Northwest Normal University ,2011,Chinese,China,East Asia,Secondary,Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Master's Thesis,"Classroom teacher, Not defined",Addresses both benefits and concerns,,Survey conducted by author,"Teachers who tutor, Parents / household, Students",expand social class gap and social inequity,Yes
7/20/2013 2:07:52,121,,"Original empirical research, Review of other research",Master's Thesis of Central China Normal University ,2009,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Master's Thesis,Not defined,Addresses both benefits and concerns,,Survey conducted by author,"Parents / household, Students",expand social class gap and social inequity,Yes
7/20/2013 2:53:24,122,,"Original empirical research, Review of other research",Master's Thesis of Jiangxi Normal University ,2012,Chinese,China,East Asia,Primary,Single-country / case,Mixed-methods,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students",Addresses both benefits and concerns,,Survey conducted by author,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",,Yes
7/20/2013 4:23:06,123,,Review of other research,Master's Thesis of Central China Normal University ,Unclear,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers",Addresses both benefits and concerns,,,N/A,The  chance to have private tutoring is not the same. It may expand social inequity.,No
7/20/2013 6:40:46,124,,Review of other research,Master's Thesis of Jilin University ,2009,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,Maslow's hierarchy of needs theory ; Theories of Motivation.,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,,,"Teachers who tutor, Parents / household, Students",,No
7/20/2013 7:31:42,125,,"Original empirical research, Review of other research",Master's Thesis of Capital Normal University University ,2012,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Mixed-methods,Cultural Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students",Addresses both benefits and concerns,,Survey conducted by author,"Parents / household, Students",expand social class gap and social inequity,Yes
7/20/2013 9:30:00,126,,Review of other research,Master's Thesis of Northwest Normal University ,2009,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Global Trend",Both,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,,,"Teachers who tutor, Parents / household, Students",,No
7/20/2013 9:55:06,127,,"Original empirical research, Review of other research",Master's Thesis of Liaoning Normal University ,2010,Chinese,China,East Asia,"Primary, Secondary",Single-country / case,Qualitative,Human Capital,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Master's Thesis,"Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,,,N/A,,No
7/20/2013 10:14:50,128,,"Original empirical research, Review of other research",Master's Thesis of Nanjing Normal University ,2011,Chinese,China,East Asia,Primary,Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Addresses both benefits and concerns,Parents cannot help their children's study because of low education background.,Survey conducted by author,"Parents / household, Students","First, private tutoring can increase students' human capital so that it is good to increase social equity. However, the  chance to have private tutoring is not the same. It may expand social inequity.",Yes
7/20/2013 21:03:21,129,,"Original empirical research, Review of other research",Master's Thesis of Shangdong Normal University ,2003,Chinese,China,East Asia,Secondary,Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Subjects taught in school,"On school grounds, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Individual operator,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students; Relatives or friendsf",Addresses both benefits and concerns,,Survey conducted by author,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",,Yes
7/20/2013 21:21:13,130,,"Original empirical research, Review of other research",Master's Thesis of Shanxi Financial University ,2012,Chinese,China,East Asia,Secondary,Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students",Addresses both benefits and concerns,,Survey conducted by author,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students",expand social class gap and social inequity,Yes
7/20/2013 22:00:13,131,,"Original empirical research, Review of other research",Master's Thesis of Guangxi Normal University ,2010,Chinese,China,East Asia,Primary,Single-country / case,Mixed-methods,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Unclear,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Master's Thesis,Not defined,Addresses both benefits and concerns,,Survey conducted by author,"Parents / household, Students",The  chance to have private tutoring is not the same. It may expand social inequity.,Yes
7/20/2013 22:18:52,132,,"Original empirical research, Review of other research",Master's Thesis of Central China Normal University ,2010,Chinese,China,East Asia,Primary,Single-country / case,Qualitative,None or Unclear,"Related to curriculum coverage / ed. quality / exam prep, Household Expenditures",Both,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor, College students, retired teachers etc.",Raises concerns,Goverment policy stimulates students have in private tutoring.,Survey conducted by author,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students, Policymakers",,Yes
7/20/2013 23:01:36,133,,"Original empirical research, Review of other research",Master's Thesis of Guangxi Normal University ,2012,Chinese,China,East Asia,Primary,Single-country / case,Mixed-methods,Cultural Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity, Household Expenditures",Both,"Designated tutoring center or franchise, In the student's home, Other outside school (e.g. teacher's home, coffee shop, library)","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, For cultural reasons, To provide extra enrichment activities (sports or arts)",,Xia Zhao,Master's Thesis,"Classroom teacher, Other K-12 teachers, Institution / Professional tutor",Addresses both benefits and concerns,,Survey conducted by author,"Teachers who tutor, Parents / household, Students",The  chance to have private tutoring is not the same. It may expand social inequity.,Yes
